pinyin	definition
ni3	you (informal, as opposed to courteous 您[nin2])
hao3	good
qing3	to ask
wen4	to ask; to inquire
nin2	you (courteous, as opposed to informal 你[ni3])
gui4	expensive
xing4	surname
wo3	I; me; my
ne5	particle for inquiring about location ("Where is ...?")
wang2	king or monarch
peng2	friend
li3	plum
you3	friend
jiao4	to shout
shen2	what
me5	suffix, used to form interrogative 什麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc
ming2	name
zi4	letter
xian1	first
sheng1	to be born
xiao3	tiny
jie3	older sister
ta1	he; him (used for either sex when the sex is unknown or unimportant)
ta1	she
yi1	one
er4	two
san1	three
si4	four
wu3	five
ma2	(coll.) what?
bu4	no; not so
shi4	to be (followed by substantives only)
lao3	old (of people)
shi1	teacher
ye3	(adverb) also; both ... and ... (before predicates only)
xue2	to study
zhong1	middle
guo2	country; nation; state (CL:個|个[ge4])
ren2	person; people
mei3	very satisfactory; good
ying1	hero
fa3	law
ri4	sun
ben3	origin
bei3	north
jing1	capital city of a country
niu3	nu (Greek letter Νν)
yue1	to invite
